,index,Unnamed: 0,Title,Year_x,Publisher_x,Genre_x,Platform_x,Metascore,Avg_Userscore,No_Players,Rank,Name,Platform_y,Year_y,Genre_y,Publisher_y,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10,10,54,Tony Hawk's Pro Skater 2,2001,VicariousVisions,Sports;Alternative;Skateboarding,GameBoyAdvance,95,7.0,not specified,2707,Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,0.59,0.16,0.0,0.01,0.76
11,11,308,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,91,8.5,1-4 ,226,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
12,12,308,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,91,8.5,1-4 ,1713,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Activision,0.85,0.31,0.0,0.02,1.18
13,13,308,Tony Hawk's Pro Skater 2,2000,NeversoftEntertainment,Sports;Alternative;Individual;Skateboarding;Skateboarding;Skate / Skateboard,PC,91,8.5,1-4 ,2707,Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,0.59,0.16,0.0,0.01,0.76
14,14,1826,Tony Hawk's Pro Skater 2,2001,EdgeofReality,Sports;Alternative;Skateboarding,Nintendo64,84,8.8,not specified,226,Tony Hawk's Pro Skater 2,PS,2000.0,Sports,Activision,3.05,1.41,0.02,0.2,4.68
15,15,1826,Tony Hawk's Pro Skater 2,2001,EdgeofReality,Sports;Alternative;Skateboarding,Nintendo64,84,8.8,not specified,1713,Tony Hawk's Pro Skater 2,GBA,2001.0,Sports,Activision,0.85,0.31,0.0,0.02,1.18
16,16,1826,Tony Hawk's Pro Skater 2,2001,EdgeofReality,Sports;Alternative;Skateboarding,Nintendo64,84,8.8,not specified,2707,Tony Hawk's Pro Skater 2,N64,2001.0,Sports,Activision,0.59,0.16,0.0,0.01,0.76
17,17,2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,98,7.5,1 Player,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
18,18,2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,98,7.5,1 Player,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
19,19,2,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,PlayStation3,98,7.5,1 Player,2359,Grand Theft Auto IV,PC,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
20,20,4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,98,7.9,1 Player,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
21,21,4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,98,7.9,1 Player,57,Grand Theft Auto IV,PS3,2008.0,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57
22,22,4,Grand Theft Auto IV,2008,RockstarNorth,Action Adventure;Modern;Modern;Open-World,Xbox360,98,7.9,1 Player,2359,Grand Theft Auto IV,PC,2008.0,Action,Take-Two Interactive,0.01,0.79,0.0,0.08,0.88
23,23,474,Grand Theft Auto IV,2008,RockstarToronto,Action Adventure;Modern;Modern;Open-World,PC,90,6.7,1 Player,52,Grand Theft Auto IV,X360,2008.0,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02
